Year,USA_Exports,Global_Exports,USA_Export_Percentage,Export_Rank,USA_Imports,Global_Imports,USA_Import_Percentage,Import_Rank,USA_Total_Trade,Global_Total_Trade,USA_Total_Trade_Percentage,Trade_Rank,Trade_Deficit
2023,2020606,23809145,8.49,2,3172476,24242604,13.09,1,5193082,48051749,10.81,2,1151870
2022,2065157,24888590,8.3,2,3371751,25644257,13.15,1,5436908,50532847,10.76,2,1306594
2021,1754300,22296763,7.87,2,2935314,22568976,13.01,1,4689614,44865739,10.45,2,1181014
2020,1424935,17646606,8.07,2,2406932,17868348,13.47,1,3831867,35514954,10.79,2,981997
2019,1643161,19005077,8.65,2,2567445,19311134,13.3,1,4210606,38316211,10.99,2,924284
2018,1663982,19543494,8.51,2,2614221,19798427,13.2,1,4278203,39341921,10.87,2,950239
2017,1546273,17733519,8.72,2,2408476,17957788,13.41,1,3954749,35691307,11.08,2,862203
2016,1451011,16046439,9.04,2,2250154,16195200,13.89,1,3701165,32241639,11.48,1,799143
2015,1502572,16561223,9.07,2,2315301,16718183,13.85,1,3817873,33279406,11.47,2,812729
2014,1620532,19006207,8.53,2,2412547,19062961,12.66,1,4033079,38069168,10.59,2,792015
2013,1579593,18957967,8.33,2,2329060,18971717,12.28,1,3908653,37929684,10.3,2,749467
2012,1545703,18507500,8.35,2,2336524,18662936,12.52,1,3882227,37170436,10.44,1,790821
2011,1482508,18332292,8.09,2,2266024,18436712,12.29,1,3748532,36769004,10.19,1,783516
2010,1278495,15298681,8.36,2,1969184,15446376,12.75,1,3247679,30745057,10.56,1,690689
2009,1056043,12582803,8.39,3,1605296,12770469,12.57,1,2661339,25353272,10.5,1,549253
2008,1287442,16189691,7.95,3,2169487,16544369,13.11,1,3456929,32734060,10.56,1,882045
2007,1148199,14040323,8.18,3,2020403,14293619,14.13,1,3168602,28333942,11.18,1,872204
2006,1025967,12141098,8.45,2,1918077,12390085,15.48,1,2944044,24531183,12.0,1,892110
2005,901082,10521123,8.56,2,1732706,10801867,16.04,1,2633788,21322990,12.35,1,831624
2004,814875,9218816,8.84,2,1525680,9467886,16.11,1,2340555,18686702,12.53,1,710805
2003,724771,7587429,9.55,2,1303050,7767159,16.78,1,2027821,15354588,13.21,1,578279
2002,693103,6497402,10.67,1,1200230,6652803,18.04,1,1893333,13150205,14.4,1,507127
2001,729100,6193589,11.77,1,1179180,6402394,18.42,1,1908280,12595983,15.15,1,450080
2000,781918,6451212,12.12,1,1259300,6643221,18.96,1,2041218,13094433,15.59,1,477382
1999,695797,5718500,12.17,1,1059440,5849601,18.11,1,1755237,11568101,15.17,1,363643
1998,682138,5501715,12.4,1,944353,5618526,16.81,1,1626491,11120241,14.63,1,262215
1997,689182,5591667,12.33,1,899020,5671060,15.85,1,1588202,11262727,14.1,1,209838
1996,625073,5405658,11.56,1,822025,5483065,14.99,1,1447098,10888723,13.29,1,196952
1995,584743,5166589,11.32,1,770852,5220073,14.77,1,1355595,10386662,13.05,1,186109
1994,512627,4326641,11.85,1,689215,4383079,15.72,1,1201842,8709720,13.8,1,176588
1993,464773,3793146,12.25,1,603438,3853262,15.66,1,1068211,7646408,13.97,1,138665
1992,448163,3778609,11.86,1,553923,3899281,14.21,1,1002086,7677890,13.05,1,105760
1991,421730,3510810,12.01,1,508363,3626972,14.02,1,930093,7137782,13.03,1,86633
1990,393592,3489794,11.28,2,516987,3599000,14.36,1,910579,7088794,12.85,1,123395
1989,363812,3099025,11.74,1,492922,3204030,15.38,1,856734,6303055,13.59,1,129110
1988,322427,2868299,11.24,2,459543,2963883,15.5,1,781970,5832182,13.41,1,137116
1987,254122,2514923,10.1,2,424443,2582435,16.44,1,678565,5097358,13.31,1,170321
1986,227158,2138061,10.62,2,382294,2206357,17.33,1,609452,4344418,14.03,1,155136
1985,218815,1952523,11.21,1,352463,2014510,17.5,1,571278,3967033,14.4,1,133648
1984,223976,1955427,11.45,1,346363,2014730,17.19,1,570339,3970157,14.37,1,122387
1983,205639,1845585,11.14,1,269878,1890501,14.28,1,475517,3736086,12.73,1,64239
1982,216442,1885441,11.48,1,254884,1942992,13.12,1,471326,3828433,12.31,1,38442
1981,238715,2013969,11.85,1,273352,2069314,13.21,1,512067,4083283,12.54,1,34637
1980,225566,2035729,11.08,1,256985,2076146,12.38,1,482551,4111875,11.74,1,31419
1979,186363,1659730,11.23,1,222225,1693573,13.12,1,408588,3353303,12.18,1,35862
1978,145847,1307151,11.16,1,186046,1357842,13.7,1,331893,2664993,12.45,1,40199
1977,123182,1128221,10.92,1,160411,1169922,13.71,1,283593,2298143,12.34,1,37229
1976,116794,992007,11.77,1,132497,1025671,12.92,1,249291,2017678,12.36,1,15703
1975,108856,876721,12.42,1,105881,911498,11.62,1,214737,1788219,12.01,1,-2975
1974,99437,840419,11.83,1,110478,860310,12.84,1,209915,1700729,12.34,1,11041
1973,70823,580990,12.19,1,73572,594982,12.37,1,144395,1175972,12.28,1,2749
1972,49199,419608,11.72,1,58862,432575,13.61,1,108061,852183,12.68,1,9663
1971,43549,354139,12.3,1,48342,365898,13.21,1,91891,720037,12.76,1,4793
1970,43225,317160,13.63,1,42428,329217,12.89,1,85653,646377,13.25,1,-797
1969,37332,276622,13.5,1,38312,286482,13.37,1,75644,563104,13.43,1,980
1968,34063,242307,14.06,1,35350,252274,14.01,1,69413,494581,14.03,1,1287
1967,30934,218181,14.18,1,28753,227894,12.62,1,59687,446075,13.38,1,-2181
1966,29379,206570,14.22,1,27745,217615,12.75,1,57124,424185,13.47,1,-1634
1965,26699,189344,14.1,1,23188,198689,11.67,1,49887,388033,12.86,1,-3511
1964,25690,174690,14.71,1,20306,183321,11.08,1,45996,358011,12.85,1,-5384
1963,22427,156111,14.37,1,18621,163720,11.37,1,41048,319831,12.83,1,-3806
1962,20973,142644,14.7,1,17781,150540,11.81,1,38754,293184,13.22,1,-3192
1961,20190,135544,14.9,1,15938,142504,11.18,1,36128,278048,12.99,1,-4252
1960,19626,129652,15.14,1,16371,136906,11.96,1,35997,266558,13.5,1,-3255
1959,16407,117324,13.98,1,17008,122805,13.85,1,33415,240129,13.92,1,601
1958,16367,108779,15.05,1,14618,114530,12.76,1,30985,223309,13.88,1,-1749
1957,19495,112786,17.28,1,14620,120802,12.1,1,34115,233588,14.6,1,-4875
1956,17333,103611,16.73,1,13987,109096,12.82,1,31320,212707,14.72,1,-3346
1955,14291,93377,15.3,1,12489,99062,12.61,1,26780,192439,13.92,1,-1802
1954,12854,84595,15.19,1,11140,88780,12.55,1,23994,173375,13.84,1,-1714
1953,12262,80338,15.26,1,11846,85227,13.9,1,24108,165565,14.56,1,-416
1952,13203,79354,16.64,1,11707,87848,13.33,1,24910,167202,14.9,1,-1496
1951,13967,82291,16.97,1,11922,88249,13.51,1,25889,170540,15.18,1,-2045
1950,9993,61460,16.26,1,9631,63791,15.1,1,19624,125251,15.67,1,-362
1949,12051,58578,20.57,1,7544,62187,12.13,2,19595,120765,16.23,1,-4507
1948,12653,58512,21.62,1,8081,62233,12.99,2,20734,120745,17.17,1,-4572
