Year,China_Exports,Global_Exports,China_Export_Percentage,Export_Rank,China_Imports,Global_Imports,China_Import_Percentage,Import_Rank,China_Total_Trade,Global_Total_Trade,China_Total_Trade_Percentage,Trade_Rank,Trade_Deficit
2023,3379255,23809145,14.19,1,2556565,24242604,10.55,2,5935820,48051749,12.35,1,-822690
2022,3544434,24888590,14.24,1,2706507,25644257,10.55,2,6250941,50532847,12.37,1,-837927
2021,3316022,22296763,14.87,1,2679412,22568976,11.87,2,5995434,44865739,13.36,1,-636610
2020,2589952,17646606,14.68,1,2065964,17868348,11.56,2,4655916,35514954,13.11,1,-523988
2019,2499457,19005077,13.15,1,2078386,19311134,10.76,2,4577843,38316211,11.95,1,-421071
2018,2486695,19543494,12.72,1,2135748,19798427,10.79,2,4622443,39341921,11.75,1,-350947
2017,2263346,17733519,12.76,1,1843792,17957788,10.27,2,4107138,35691307,11.51,1,-419554
2016,2097632,16046439,13.07,1,1587925,16195200,9.8,2,3685557,32241639,11.43,2,-509707
2015,2273468,16561223,13.73,1,1679566,16718183,10.05,2,3953034,33279406,11.88,1,-593902
2014,2342293,19006207,12.32,1,1959233,19062961,10.28,2,4301526,38069168,11.3,1,-383060
2013,2209005,18957967,11.65,1,1949990,18971717,10.28,2,4158995,37929684,10.97,1,-259015
2012,2048714,18507500,11.07,1,1818405,18662936,9.74,2,3867119,37170436,10.4,2,-230309
2011,1898381,18332292,10.36,1,1743484,18436712,9.46,2,3641865,36769004,9.9,2,-154897
2010,1577754,15298681,10.31,1,1396247,15446376,9.04,2,2974001,30745057,9.67,2,-181507
2009,1201612,12582803,9.55,1,1005923,12770469,7.88,2,2207535,25353272,8.71,2,-195689
2008,1430693,16189691,8.84,2,1132567,16544369,6.85,3,2563260,32734060,7.83,3,-298126
2007,1220456,14040323,8.69,2,956116,14293619,6.69,3,2176572,28333942,7.68,3,-264340
2006,968978,12141098,7.98,3,791461,12390085,6.39,3,1760439,24531183,7.18,3,-177517
2005,761953,10521123,7.24,3,659953,10801867,6.11,3,1421906,21322990,6.67,3,-102000
2004,593326,9218816,6.44,3,561229,9467886,5.93,3,1154555,18686702,6.18,3,-32097
2003,438228,7587429,5.78,4,412760,7767159,5.31,3,850988,15354588,5.54,4,-25468
2002,325596,6497402,5.01,5,295170,6652803,4.44,6,620766,13150205,4.72,6,-30426
2001,266098,6193589,4.3,6,243553,6402394,3.8,6,509651,12595983,4.05,6,-22545
2000,249203,6451212,3.86,7,225094,6643221,3.39,8,474297,13094433,3.62,8,-24109
1999,194931,5718500,3.41,9,165699,5849601,2.83,10,360630,11568101,3.12,9,-29232
1998,183712,5501715,3.34,9,140237,5618526,2.5,11,323949,11120241,2.91,11,-43475
1997,182792,5591667,3.27,10,142370,5671060,2.51,12,325162,11262727,2.89,11,-40422
1996,151048,5405658,2.79,11,138833,5483065,2.53,12,289881,10888723,2.66,11,-12215
1995,148780,5166589,2.88,11,132084,5220073,2.53,12,280864,10386662,2.7,11,-16696
1994,121006,4326641,2.8,11,115615,4383079,2.64,11,236621,8709720,2.72,11,-5391
1993,91744,3793146,2.42,11,103959,3853262,2.7,11,195703,7646408,2.56,11,12215
1992,84940,3778609,2.25,11,80585,3899281,2.07,13,165525,7677890,2.16,11,-4355
1991,71910,3510810,2.05,12,63791,3626972,1.76,15,135701,7137782,1.9,14,-8119
1990,62091,3489794,1.78,15,53345,3599000,1.48,18,115436,7088794,1.63,16,-8746
1989,52538,3099025,1.7,14,59142,3204030,1.85,14,111680,6303055,1.77,15,6604
