Year,Country,Exports,Export_Percentage_Global,Export_Rank,Imports,Import_Percentage_Global,Import_Rank,Total_Trade,Total_Trade_Percentage_Global,Trade_Rank,Trade_Deficit
2023,China,3379255,14.19,1,2556565,10.55,2,5935820,12.35,1,-822690
2023,United States of America,2020606,8.49,2,3172476,13.09,1,5193082,10.81,2,1151870
2023,Germany,1718251,7.22,3,1476656,6.09,3,3194907,6.65,3,-241595
2023,Netherlands,936392,3.93,4,842331,3.47,4,1778723,3.7,4,-94061
2023,Japan,717261,3.01,5,785796,3.24,7,1503057,3.13,5,68535
2023,France,648569,2.72,7,786158,3.24,6,1434727,2.99,6,137589
2023,Italy,676993,2.84,6,639755,2.64,11,1316748,2.74,7,-37238
2023,United Kingdom,521040,2.19,13,791523,3.27,5,1312563,2.73,8,270483
2023,"Korea, Republic of",632226,2.66,8,642572,2.65,10,1274798,2.65,9,10346
2023,"Hong Kong, China",573871,2.41,10,653696,2.7,9,1227567,2.55,10,79825
2023,Mexico,593005,2.49,9,621476,2.56,12,1214481,2.53,11,28471
2023,Canada,568939,2.39,11,570484,2.35,13,1139423,2.37,12,1545
2023,Belgium,564770,2.37,12,548051,2.26,14,1112821,2.32,13,-16719
2023,India,431574,1.81,17,672231,2.77,8,1103805,2.3,14,240657
2023,United Arab Emirates,485706,2.04,14,468302,1.93,16,954008,1.99,15,-17404
2023,Singapore,476252,2.0,15,423448,1.75,17,899700,1.87,16,-52804
2023,Spain,423228,1.78,19,470329,1.94,15,893557,1.86,17,47101
2023,Chinese Taipei,432337,1.82,16,358960,1.48,21,791297,1.65,18,-73377
2023,Switzerland,420170,1.76,20,364098,1.5,19,784268,1.63,19,-56072
2023,Poland,381517,1.6,21,370076,1.53,18,751593,1.56,20,-11441
2023,Russian Federation,424222,1.78,18,303297,1.25,23,727519,1.51,21,-120925
2023,Viet Nam,353782,1.49,23,325776,1.34,22,679558,1.41,22,-28006
2023,Australia,371278,1.56,22,287406,1.19,25,658684,1.37,23,-83872
2023,Türkiye,255438,1.07,30,361765,1.49,20,617203,1.28,24,106327
2023,Brazil,339696,1.43,24,252710,1.04,27,592406,1.23,25,-86986
2023,Malaysia,312830,1.31,26,265750,1.1,26,578580,1.2,26,-47080
2023,Thailand,284562,1.2,27,289754,1.2,24,574316,1.2,27,5192
2023,"Saudi Arabia, Kingdom of",320018,1.34,25,206940,0.85,31,526958,1.1,28,-113078
2023,Czech Republic,255854,1.07,29,231315,0.95,28,487169,1.01,29,-24539
2023,Indonesia,258857,1.09,28,221886,0.92,30,480743,1.0,30,-36971
2023,Austria,223855,0.94,31,225026,0.93,29,448881,0.93,31,1171
2023,Sweden,197900,0.83,33,192724,0.79,32,390624,0.81,32,-5176
2023,Ireland,208984,0.88,32,150554,0.62,34,359538,0.75,33,-58430
2023,Hungary,160720,0.68,35,155879,0.64,33,316599,0.66,34,-4841
2023,Norway,174090,0.73,34,95470,0.39,41,269560,0.56,35,-78620
2023,Denmark,136383,0.57,36,126009,0.52,38,262392,0.55,36,-10374
2023,South Africa,110855,0.47,38,130747,0.54,37,241602,0.5,37,19892
2023,Romania,100611,0.42,39,131913,0.54,36,232524,0.48,38,31302
2023,Slovak Republic,117293,0.49,37,113599,0.47,39,230892,0.48,39,-3694
2023,Philippines,73527,0.31,48,133806,0.55,35,207333,0.43,40,60279
2023,Portugal,83857,0.35,45,113440,0.47,40,197297,0.41,41,29583
2023,Chile,94557,0.4,43,85308,0.35,44,179865,0.37,42,-9249
2023,Finland,82515,0.35,46,82961,0.34,46,165476,0.34,43,446
2023,Iraq,99149,0.42,40,65826,0.27,52,164975,0.34,44,-33323
2023,Iran,97357,0.41,41,66058,0.27,51,163415,0.34,45,-31299
2023,Israel,66893,0.28,50,91284,0.38,42,158177,0.33,46,24391
2023,Slovenia,73200,0.31,49,71563,0.3,48,144763,0.3,47,-1637
2023,Greece,55072,0.23,57,89470,0.37,43,144542,0.3,48,34398
2023,Argentina,66789,0.28,51,73714,0.3,47,140503,0.29,49,6925
2023,Kazakhstan,78533,0.33,47,60655,0.25,55,139188,0.29,50,-17878
2023,Qatar,96991,0.41,42,31187,0.13,70,128178,0.27,51,-65804
2023,Egypt,42081,0.18,61,83189,0.34,45,125270,0.26,52,41108
2023,Bangladesh,55788,0.23,55,66863,0.28,50,122651,0.26,53,11075
2023,"Kuwait, the State of",83981,0.35,44,37490,0.15,66,121471,0.25,54,-46491
2023,Peru,63074,0.26,52,52329,0.22,57,115403,0.24,55,-10745
2023,Colombia,49545,0.21,58,62797,0.26,54,112342,0.23,56,13252
2023,Morocco,41642,0.17,62,68632,0.28,49,110274,0.23,57,26990
2023,Nigeria,55182,0.23,56,49428,0.2,60,104610,0.22,58,-5754
2023,Bulgaria,47755,0.2,59,53529,0.22,56,101284,0.21,59,5774
2023,Algeria,56069,0.24,54,43729,0.18,62,99798,0.21,60,-12340
2023,Ukraine,36040,0.15,66,63527,0.26,53,99567,0.21,61,27487
2023,Oman,62736,0.26,53,36382,0.15,67,99118,0.21,62,-26354
2023,New Zealand,41399,0.17,63,49957,0.21,59,91356,0.19,63,8558
2023,Lithuania,42639,0.18,60,48436,0.2,61,91075,0.19,64,5797
2023,Belarus,40168,0.17,64,43256,0.18,64,83424,0.17,65,3088
2023,Pakistan,28478,0.12,70,50324,0.21,58,78802,0.16,66,21846
2023,Serbia,30935,0.13,69,39838,0.16,65,70773,0.15,67,8903
2023,Croatia,24937,0.1,72,43265,0.18,63,68202,0.14,68,18328
2023,Ecuador,31127,0.13,68,30902,0.13,71,62029,0.13,69,-225
2023,Uzbekistan,19229,0.08,79,35575,0.15,68,54804,0.11,70,16346
2023,Angola,38089,0.16,65,16271,0.07,90,54360,0.11,71,-21818
2023,Azerbaijan,33899,0.14,67,17285,0.07,87,51184,0.11,72,-16614
2023,Panama,16738,0.07,82,34285,0.14,69,51023,0.11,73,17547
2023,Latvia,22667,0.1,75,27325,0.11,74,49992,0.1,74,4658
2023,Cambodia,23470,0.1,74,24386,0.1,78,47856,0.1,75,916
2023,Tunisia,19985,0.08,77,25485,0.11,77,45470,0.09,76,5500
2023,Guatemala,14199,0.06,88,30318,0.13,72,44517,0.09,77,16119
2023,Costa Rica,19025,0.08,80,24039,0.1,79,43064,0.09,78,5014
2023,Luxembourg,17162,0.07,81,25581,0.11,76,42743,0.09,79,8419
2023,Estonia,19674,0.08,78,22892,0.09,80,42566,0.09,80,3218
2023,Dominican Republic,12932,0.05,90,28823,0.12,73,41755,0.09,81,15891
