Year,India_Exports,Global_Exports,India_Export_Percentage,Export_Rank,Prev_Exports,Export_Growth_Percentage,India_Imports,Global_Imports,India_Import_Percentage,Import_Rank,Prev_Imports,Import_Growth_Percentage,India_Total_Trade,Global_Total_Trade,India_Total_Trade_Percentage,Trade_Rank,Prev_Total_Trade,Total_Trade_Growth_Percentage,Trade_Deficit,Prev_Trade_Deficit,Trade_Deficit_Growth_Percentage
2023,431574,23809145,1.81,17,453415,-4.82,672231,24242604,2.77,8,720441,-6.69,1103805,48051749,2.3,14,1173856,-5.97,240657,267026,-9.88
2022,453415,24888590,1.82,18,395426,14.66,720441,25644257,2.81,9,573092,25.71,1173856,50532847,2.32,14,968518,21.2,267026,177666,50.3
2021,395426,22296763,1.77,18,276410,43.06,573092,22568976,2.54,10,373202,53.56,968518,44865739,2.16,14,649612,49.09,177666,96792,83.55
2020,276410,17646606,1.57,21,324340,-14.78,373202,17868348,2.09,14,486059,-23.22,649612,35514954,1.83,15,810399,-19.84,96792,161719,-40.15
2019,324340,19005077,1.71,19,324778,-0.13,486059,19311134,2.52,10,514464,-5.52,810399,38316211,2.12,14,839242,-3.44,161719,189686,-14.74
2018,324778,19543494,1.66,19,299241,8.53,514464,19798427,2.6,10,449925,14.34,839242,39341921,2.13,14,749166,12.02,189686,150684,25.88
2017,299241,17733519,1.69,20,264542,13.12,449925,17957788,2.51,11,361649,24.41,749166,35691307,2.1,14,626191,19.64,150684,97107,55.17
2016,264542,16046439,1.65,20,267951,-1.27,361649,16195200,2.23,14,394131,-8.24,626191,32241639,1.94,14,662082,-5.42,97107,126180,-23.04
2015,267951,16561223,1.62,20,322694,-16.96,394131,16718183,2.36,13,462910,-14.86,662082,33279406,1.99,14,785604,-15.72,126180,140216,-10.01
2014,322694,19006207,1.7,19,314848,2.49,462910,19062961,2.43,12,465397,-0.53,785604,38069168,2.06,16,780245,0.69,140216,150549,-6.86
2013,314848,18957967,1.66,20,296828,6.07,465397,18971717,2.45,12,489694,-4.96,780245,37929684,2.06,15,786522,-0.8,150549,192866,-21.94
2012,296828,18507500,1.6,20,302905,-2.01,489694,18662936,2.62,10,464462,5.43,786522,37170436,2.12,15,767367,2.5,192866,161557,19.38
2011,302905,18332292,1.65,19,226351,33.82,464462,18436712,2.52,12,350233,32.62,767367,36769004,2.09,15,576584,33.09,161557,123882,30.41
2010,226351,15298681,1.48,19,164909,37.26,350233,15446376,2.27,13,257202,36.17,576584,30745057,1.88,17,422111,36.6,123882,92293,34.23
2009,164909,12582803,1.31,21,194828,-15.36,257202,12770469,2.01,14,321032,-19.88,422111,25353272,1.66,17,515860,-18.17,92293,126204,-26.87
2008,194828,16189691,1.2,23,150159,29.75,321032,16544369,1.94,14,229370,39.96,515860,32734060,1.58,17,379529,35.92,126204,79211,59.33
2007,150159,14040323,1.07,26,121808,23.28,229370,14293619,1.6,16,178410,28.56,379529,28333942,1.34,19,300218,26.42,79211,56602,39.94
2006,121808,12141098,1,28,99616,22.28,178410,12390085,1.44,17,142870,24.88,300218,24531183,1.22,19,242486,23.81,56602,43254,30.86
2005,99616,10521123,0.95,29,76649,29.96,142870,10801867,1.32,18,99775,43.19,242486,21322990,1.14,22,176424,37.45,43254,23126,87.04
2004,76649,9218816,0.83,30,58963,30,99775,9467886,1.05,22,72558,37.51,176424,18686702,0.94,24,131521,34.14,23126,13595,70.11
2003,58963,7587429,0.78,31,49250,19.72,72558,7767159,0.93,24,56517,28.38,131521,15354588,0.86,26,105767,24.35,13595,7267,87.08
2002,49250,6497402,0.76,31,43361,13.58,56517,6652803,0.85,24,50392,12.15,105767,13150205,0.8,27,93753,12.81,7267,7031,3.36
2001,43361,6193589,0.7,31,42379,2.32,50392,6402394,0.79,26,51523,-2.2,93753,12595983,0.74,29,93902,-0.16,7031,9144,-23.11
2000,42379,6451212,0.66,32,35667,18.82,51523,6643221,0.78,25,46979,9.67,93902,13094433,0.72,30,82646,13.62,9144,11312,-19.17
1999,35667,5718500,0.62,33,33437,6.67,46979,5849601,0.8,24,42980,9.3,82646,11568101,0.71,28,76417,8.15,11312,9543,18.54
1998,33437,5501715,0.61,32,35008,-4.49,42980,5618526,0.76,28,41432,3.74,76417,11120241,0.69,30,76440,-0.03,9543,6424,48.55
1997,35008,5591667,0.63,32,33105,5.75,41432,5671060,0.73,29,37942,9.2,76440,11262727,0.68,30,71047,7.59,6424,4837,32.81
