Year,Product,India_Exports,Global_Exports,India_Export_Percentage,Export_Rank,Prev_Exports,Export_Growth_Percentage,India_Imports,Global_Imports,India_Import_Percentage,Import_Rank,Prev_Imports,Import_Growth_Percentage,India_Total_Trade,Global_Total_Trade,India_Total_Trade_Percentage,Trade_Rank,Prev_Total_Trade,Total_Trade_Growth_Percentage,Trade_Deficit,Prev_Trade_Deficit,Trade_Deficit_Growth_Percentage
2023,Agricultural products,51061,2302227,2.22,14,54685,-6.63,41157,2385127,1.73,14,46454,-11.4,92218,4687354,1.97,15,101139,-8.82,-9904,-8231,20.33
2023,Automotive products,17049,1870094,0.91,22,16876,1.03,8360,1878796,0.44,38,7552,10.7,25409,3748890,0.68,27,24428,4.02,-8689,-9324,-6.81
2023,Chemicals,62161,2824734,2.2,14,65221,-4.69,83738,2970280,2.82,8,95608,-12.42,145899,5795014,2.52,13,160829,-9.28,21577,30387,-28.99
2023,Clothing,15366,554377,2.77,9,17641,-12.9,1751,486046,0.36,42,1952,-10.3,17117,1040423,1.65,15,19593,-12.64,-13615,-15689,-13.22
2023,Electronic data processing and office equipment,1699,696813,0.24,30,1420,19.65,24565,725256,3.39,8,22495,9.2,26264,1422069,1.85,15,23915,9.82,22866,21075,8.5
2023,Food,47512,2030654,2.34,14,50417,-5.76,31355,2094130,1.5,15,34339,-8.69,78867,4124784,1.91,15,84756,-6.95,-16157,-16078,0.49
2023,Fuels,89328,3285952,2.72,10,98470,-9.28,220590,3324743,6.63,3,277235,-20.43,309918,6610695,4.69,3,375705,-17.51,131262,178765,-26.57
2023,Fuels and mining products,106091,4270726,2.48,9,115338,-8.02,260713,4449734,5.86,3,321031,-18.79,366804,8720460,4.21,3,436369,-15.94,154622,205693,-24.83
2023,Integrated circuits and electronic components,2319,1173635,0.2,21,1872,23.88,26851,1325579,2.03,13,20761,29.33,29170,2499214,1.17,15,22633,28.88,24532,18889,29.87
2023,Iron and steel,15070,541270,2.78,11,18399,-18.09,13738,547449,2.51,11,12137,13.19,28808,1088719,2.65,12,30536,-5.66,-1332,-6262,-78.73
2023,Machinery and transport equipment,89614,8371713,1.07,23,80798,10.91,153863,8605998,1.79,15,142277,8.14,243477,16977711,1.43,21,223075,9.15,64249,61479,4.51
2023,Manufactures,273791,16051617,1.71,19,281864,-2.86,325672,16113391,2.02,14,326869,-0.37,599463,32165008,1.86,17,608733,-1.52,51881,45005,15.28
2023,Office and telecom equipment,19893,2729053,0.73,18,13303,49.54,63478,2943477,2.16,13,56967,11.43,83371,5672530,1.47,15,70270,18.64,43585,43664,-0.18
2023,Pharmaceuticals,23166,907319,2.55,11,21521,7.64,5261,953807,0.55,31,4955,6.18,28427,1861126,1.53,17,26476,7.37,-17905,-16566,8.08
2023,Telecommunications equipment,15875,858602,1.85,12,10011,58.58,12063,892645,1.35,18,13711,-12.02,27938,1751247,1.6,14,23722,17.77,-3812,3700,-203.03
2023,Textiles,18042,326487,5.53,2,19339,-6.71,5618,280673,2.0,13,5968,-5.86,23660,607160,3.9,5,25307,-6.51,-12424,-13371,-7.08
2023,Transport equipment,30246,2452837,1.23,22,28571,5.86,25473,2400716,1.06,26,21458,18.71,55719,4853553,1.15,22,50029,11.37,-4773,-7113,-32.9
2022,Agricultural products,54685,2328660,2.35,12,50490,8.31,46454,2440146,1.9,13,38206,21.59,101139,4768806,2.12,14,88696,14.03,-8231,-12284,-32.99
2022,Automotive products,16876,1563668,1.08,22,14753,14.39,7552,1584054,0.48,40,6949,8.68,24428,3147722,0.78,26,21702,12.56,-9324,-7804,19.48
2022,Chemicals,65221,3068154,2.13,14,62291,4.7,95608,3251197,2.94,9,78207,22.25,160829,6319351,2.55,13,140498,14.47,30387,15916,90.92
2022,Clothing,17641,584347,3.02,7,16150,9.23,1952,534844,0.36,38,1604,21.7,19593,1119191,1.75,15,17754,10.36,-15689,-14546,7.86
2022,Electronic data processing and office equipment,1420,756801,0.19,32,1912,-25.73,22495,815076,2.76,10,24620,-8.63,23915,1571877,1.52,15,26532,-9.86,21075,22708,-7.19
2022,Food,50417,2015463,2.5,13,44690,12.81,34339,2095885,1.64,14,28819,19.15,84756,4111348,2.06,15,73509,15.3,-16078,-15871,1.3
2022,Fuels,98470,4101750,2.4,12,56398,74.6,277235,4172691,6.64,3,170395,62.7,375705,8274441,4.54,4,226793,65.66,178765,113997,56.82
2022,Fuels and mining products,115338,5172017,2.23,13,75455,52.86,321031,5445171,5.9,4,201546,59.28,436369,10617188,4.11,4,277001,57.53,205693,126091,63.13
2022,Integrated circuits and electronic components,1872,1309652,0.14,22,920,103.48,20761,1491304,1.39,14,18507,12.18,22633,2800956,0.81,15,19427,16.5,18889,17587,7.4
2022,Iron and steel,18399,622437,2.96,11,23610,-22.07,12137,634090,1.91,17,9213,31.74,30536,1256527,2.43,12,32823,-6.97,-6262,-14397,-56.5
2022,Machinery and transport equipment,80798,8124026,0.99,23,68289,18.32,142277,8454687,1.68,16,118867,19.69,223075,16578713,1.35,22,187156,19.19,61479,50578,21.55
2022,Manufactures,281864,16288617,1.73,16,268509,4.97,326869,16622868,1.97,14,273358,19.58,608733,32911485,1.85,16,541867,12.34,45005,4849,828.13
2022,Office and telecom equipment,13303,2930125,0.45,23,8961,48.45,56967,3197052,1.78,14,53627,6.23,70270,6127177,1.15,17,62588,12.27,43664,44666,-2.24
2022,Pharmaceuticals,21521,910048,2.36,13,21012,2.42,4955,951434,0.52,31,5565,-10.96,26476,1861482,1.42,16,26577,-0.38,-16566,-15447,7.24
2022,Telecommunications equipment,10011,863651,1.16,16,6129,63.34,13711,890686,1.54,17,10499,30.59,23722,1754337,1.35,18,16628,42.66,3700,4370,-15.33
2022,Textiles,19339,355723,5.44,2,22233,-13.02,5968,318869,1.87,15,5305,12.5,25307,674592,3.75,5,27538,-8.1,-13371,-16928,-21.01
2022,Transport equipment,28571,2112367,1.35,19,27068,5.55,21458,2079752,1.03,25,15685,36.81,50029,4192119,1.19,22,42753,17.02,-7113,-11383,-37.51
